id;nome;nazione;citta;indirizzo;latitudine;longitudine;prezzoMedio;delivery;booking;tipoCucina;descrizione;servizi;recensioniIDs
1;Steffie;FR;Jalaud;62 Delaware Point;36.3034445;139.8755526;99;false;false;Argentina;Expanded secondary circuit;Universal hybrid algorithm;[1]
2;Buck;FR;Jalaud;69706 Buena Vista Court;10.829771;122.615819;49;true;true;Cinese;Public-key needs-based instruction set;Inverse maximized help-desk;[]
3;Jemmie;US;Kota Bharu;875 Reinke Way;6.1097207;102.2462087;83;true;true;Argentina;Realigned contextually-based matrices;Optional optimizing data-warehouse;[]
4;Petey;DE;Ban Talat Bueng;14984 Leroy Hill;13.0742447;101.0084698;72;false;true;Argentina;Profound hybrid approach;Organized contextually-based productivity;[]
5;Coralyn;DE;Otorohanga;94 Arizona Terrace;-38.1854517;175.2102748;8;true;true;Russa;Cross-platform intangible standardization;Future-proofed web-enabled pricing structure;[]
6;Kennan;US;Volodymyr-Volyns’kyy;989 Maryland Park;50.85253;24.32364;77;true;true;Russa;Optional bi-directional time-frame;Focused 24 hour Graphic Interface;[]
7;Sinclair;US;Lyon;5 Saint Paul Junction;43.0429124;1.9038837;65;true;false;Italiana;Enhanced leading edge concept;Digitized asynchronous support;[]
8;Tabbatha;FR;Yanfolila;11 Crownhardt Alley;11.1780136;-8.1529749;99;true;true;Cinese;Stand-alone attitude-oriented process improvement;Optimized discrete open system;[]
9;Merwin;US;Gongchang Zhen;42716 Green Ridge Terrace;34.995728;104.655337;20;false;false;Argentina;Fundamental context-sensitive attitude;Upgradable zero administration interface;[]
10;Quentin;US;Leping;09085 Oakridge Lane;28.97844;117.151796;99;true;false;Russa;Secured coherent artificial intelligence;Visionary heuristic service-desk;[]
11;Sergeant;US;Hvar;0130 Brown Crossing;43.1729478;16.4411136;69;false;true;Argentina;De-engineered bifurcated definition;Multi-layered contextually-based flexibility;[]
12;Luigi;US;Lipinki Łużyckie;1 Grim Alley;51.6396221;14.999633;70;false;false;Italiana;Reverse-engineered contextually-based middleware;Expanded dynamic help-desk;[]
13;Xylina;US;San José de Colinas;0 Arrowood Alley;15.040667;-88.3020602;23;true;true;Italiana;Switchable intangible throughput;Front-line asynchronous product;[]
14;Claire;US;Arrah;40 School Terrace;6.6746161;-3.9725378;4;false;true;Italiana;Robust fresh-thinking adapter;Upgradable value-added solution;[]
15;Xena;US;Icó;933 Wayridge Avenue;-6.4026236;-38.8591633;29;false;true;Cinese;Fully-configurable multi-tasking time-frame;Intuitive homogeneous open system;[]
16;Rita;RO;Novopavlovsk;6152 Sloan Hill;43.9576632;43.6312634;2;true;false;Italiana;Re-engineered 24 hour artificial intelligence;Assimilated zero defect Graphic Interface;[]
17;Standford;US;Susiec;238 Linden Avenue;50.4145342;23.2170296;10;true;false;Cinese;Inverse composite collaboration;Persistent static implementation;[]
18;Janina;US;Caotang;797 Holy Cross Park;23.2997268;113.323144;5;false;true;Russa;Reactive object-oriented database;Reverse-engineered holistic Graphic Interface;[]
19;Manda;AT;San Rafael;933 Granby Hill;19.4392516;-99.1636051;1;false;false;Italiana;Exclusive asymmetric alliance;Synchronised hybrid circuit;[]
20;Stesha;US;Gornorechenskiy;1656 Kings Point;44.2636981;135.1145437;56;true;false;Russa;Advanced intermediate superstructure;User-centric optimizing extranet;[]
21;Zaria;DE;Airmadidi;4062 Haas Park;1.3976339;124.9616867;97;true;true;Cinese;Adaptive needs-based time-frame;Centralized scalable Graphic Interface;[]
22;Riannon;IT;Descalvado;3274 Hayes Crossing;-21.8898802;-47.6455169;73;true;false;Cinese;Down-sized full-range approach;Phased 5th generation product;[]
23;Meggi;LU;Nanterre;67 Independence Court;48.8865404;2.215722;92;false;false;Italiana;Ameliorated national task-force;Face to face demand-driven protocol;[]
24;Webb;US;Petro-Slavyanka;09749 7th Lane;59.8063602;30.511306;90;true;false;Argentina;Profit-focused optimal migration;Balanced bifurcated analyzer;[]
25;Sharai;US;Bašaid;95231 Cordelia Way;45.6408779;20.4256633;19;false;false;Argentina;Enterprise-wide national protocol;Multi-channelled reciprocal productivity;[]
26;Maurine;US;Blora;91 Bashford Terrace;-7.012244;111.3798928;63;false;false;Italiana;Future-proofed static budgetary management;De-engineered zero administration success;[]
27;Ezekiel;DE;Weetombo;8 Hauk Pass;-9.566;119.1284;36;true;false;Italiana;Right-sized background project;Enterprise-wide scalable moratorium;[]
28;Ninnette;FR;Kyoto;1 Brentwood Street;34.9540542;135.7515062;32;true;true;Cinese;Exclusive executive middleware;Profit-focused human-resource paradigm;[]
29;Gene;US;Gravataí;955 Rowland Trail;-29.942289;-50.9907877;89;false;true;Argentina;Polarised modular capacity;Cross-group grid-enabled local area network;[]
30;Roseanne;US;Lianhe;8034 Banding Avenue;30.8716344;104.0134362;40;false;true;Russa;Optimized intangible concept;Ergonomic global protocol;[]
31;Winna;SE;La Talaudière;3301 Burrows Plaza;45.4556955;4.4135431;12;false;true;Russa;Optimized content-based emulation;Persevering systematic solution;[]
32;Camila;FR;Yangyuan;8801 Schmedeman Lane;40.104663;114.150348;68;false;false;Argentina;Switchable context-sensitive moderator;Multi-tiered tertiary orchestration;[]
33;Chelsae;FR;Shuimen;9245 Sutteridge Park;23.0878573;114.4046814;91;true;false;Italiana;Synergistic tangible capability;Pre-emptive human-resource system engine;[]
34;Cristabel;DE;Zhangduangu;1 Dexter Avenue;38.135005;114.955312;73;true;false;Russa;Operative clear-thinking paradigm;Exclusive web-enabled moratorium;[]
35;Imojean;PL;Shanting;85157 Farwell Hill;35.099528;117.461517;16;false;true;Italiana;Enhanced context-sensitive hub;Managed client-server process improvement;[]
36;Mehetabel;US;Wangping;716 Green Ridge Place;34.782718;105.656922;68;true;false;Russa;Advanced non-volatile concept;Monitored executive data-warehouse;[]
37;Iggy;US;Penco;89 Loeprich Junction;-36.7333;-72.9833;11;true;true;Cinese;Team-oriented mission-critical orchestration;Profound full-range moderator;[]
38;Kahlil;US;Landskrona;1 Ridge Oak Parkway;55.9118986;12.8316075;57;true;false;Argentina;Focused asymmetric circuit;Automated leading edge adapter;[]
39;Alphonse;FR;Kibiti;243 Bultman Terrace;-7.7256069;38.9381031;8;true;true;Cinese;Profit-focused asymmetric functionalities;Mandatory client-server middleware;[]
40;Janeva;AT;Caicó;963 Westridge Park;-6.4696439;-37.0829593;1;false;false;Cinese;Team-oriented holistic extranet;Inverse static open system;[]
41;Licha;DE;Loma Bonita;006 Marquette Street;16.733514;-93.0859557;53;false;false;Russa;Reverse-engineered coherent core;Distributed modular help-desk;[]
42;Camellia;DK;Sapataria;3559 Melody Drive;38.9693412;-9.1822048;96;false;true;Argentina;Synergistic interactive attitude;Phased next generation throughput;[]
43;Claudina;US;Stadtbredimus;291 Spenser Court;49.5635135;6.362623;42;false;true;Russa;Reduced disintermediate local area network;Ameliorated heuristic info-mediaries;[]
44;Elka;US;Dajianchang;3618 Monterey Drive;39.472463;117.091582;91;true;false;Russa;Customizable homogeneous frame;Organic eco-centric matrix;[]
45;Garik;IT;Bontoc;6 Forest Run Junction;10.3547319;124.9703005;40;true;false;Cinese;Enterprise-wide bottom-line policy;Vision-oriented fresh-thinking installation;[]
46;Margalit;US;Shuanglong;13 Nevada Junction;29.956858;107.209965;71;false;true;Cinese;Vision-oriented fault-tolerant frame;Integrated solution-oriented adapter;[]
47;Burr;LU;Póvoa de Penela;81 Service Point;41.0509739;-7.391141;55;false;false;Russa;Optimized motivating workforce;Upgradable explicit protocol;[]
48;Cathie;US;Gargaliánoi;687 Hallows Drive;37.0654883;21.6379278;40;true;false;Cinese;Face to face bottom-line policy;Multi-layered foreground open system;[]
49;Kyla;IT;Stockholm;71230 Riverside Center;59.312956;18.068285;32;true;true;Russa;De-engineered analyzing firmware;Programmable heuristic productivity;[]
50;Audra;US;Florencia;813 Pierstorff Hill;1.683061;-77.072933;99;false;false;Cinese;Up-sized user-facing Graphical User Interface;De-engineered logistical productivity;[]
51;Brigit;US;Chengqu;2518 Gina Plaza;22.778717;115.365045;97;true;true;Italiana;Diverse intangible task-force;Decentralized holistic instruction set;[]
52;Roselle;DE;Santa Rosa;0 Union Center;-34.4979812;-56.0389343;39;true;true;Cinese;Phased mission-critical website;Business-focused tertiary frame;[]
53;Emmott;US;Shendang;513 Starling Way;35.8939566;117.9249002;1;false;false;Italiana;Fully-configurable exuding alliance;Networked leading edge approach;[]
54;Erastus;US;Pangtangis Dajah;0239 Bunting Pass;-6.9203;113.4257;20;true;false;Cinese;Optimized incremental productivity;Public-key homogeneous circuit;[]
55;Romonda;US;Tianxing;78 Graedel Way;39.3433574;117.3616476;77;false;false;Italiana;Mandatory human-resource emulation;Polarised multi-tasking software;[]
56;Jacquenette;AT;Blagodarnyy;0436 Sauthoff Center;45.149066;43.4277535;77;false;false;Italiana;Right-sized mission-critical approach;Managed systematic paradigm;[]
57;Kelcey;DE;Лабуништа;4001 Nelson Park;41.2687996;20.5931318;58;false;true;Argentina;Stand-alone non-volatile knowledge user;Synergistic bottom-line benchmark;[]
58;Morty;IE;Qiying;07 Algoma Point;32.60704;115.554108;7;false;false;Argentina;Implemented methodical process improvement;Assimilated 3rd generation capacity;[]
59;Venus;US;Obo;7 Doe Crossing Plaza;5.3956496;26.4916731;97;false;true;Italiana;Progressive dedicated model;Reactive heuristic superstructure;[]
60;Neilla;US;Birayang;7994 Waubesa Plaza;-2.5482448;115.4452197;50;false;false;Italiana;Customer-focused mobile encryption;Diverse non-volatile local area network;[]
61;Niko;US;Tatrang;0 Clove Park;22.5142785;103.8788769;21;false;false;Argentina;Upgradable non-volatile task-force;Customer-focused encompassing complexity;[]
62;Torr;IT;Lappajärvi;11 Forest Run Parkway;63.3254326;23.525596;71;false;false;Cinese;Upgradable fresh-thinking algorithm;Adaptive composite matrix;[]
63;Filberto;US;Sumqayıt;21 Trailsway Plaza;40.5854765;49.6317411;32;true;false;Cinese;Multi-layered 5th generation adapter;Optimized solution-oriented function;[]
64;Mohammed;IT;Henglin;4 Sutherland Pass;28.555787;121.244605;44;false;false;Cinese;Synergistic client-server implementation;Integrated secondary solution;[]
65;Benson;DE;Arras;1 Packers Hill;50.2837307;2.7425682;2;true;true;Russa;Optional full-range toolset;Centralized methodical approach;[]
66;Laverne;US;São Manços;38 4th Park;38.4581162;-7.7521244;99;true;false;Argentina;Versatile systemic orchestration;Automated homogeneous analyzer;[]
67;Ambrosius;DE;Boé;96225 Erie Hill;44.190357;0.63968;29;true;true;Italiana;Cross-platform reciprocal instruction set;Team-oriented fault-tolerant matrices;[]
68;Teri;BE;Aba;4531 Novick Road;5.1215877;7.3732655;51;true;false;Italiana;Cross-platform exuding software;De-engineered composite strategy;[]
69;Antonella;US;Aku;6157 Pearson Hill;6.7001345;7.3246534;94;false;true;Russa;Distributed client-driven emulation;Centralized upward-trending installation;[]
70;Papagena;US;Nieying;0571 Northview Court;39.128502;113.139828;36;false;false;Argentina;Self-enabling logistical contingency;Operative hybrid internet solution;[]
71;Hollie;AT;Martakert;850 Kedzie Center;40.211601;46.8237055;82;true;false;Cinese;Reactive human-resource paradigm;Vision-oriented 24 hour open architecture;[]
72;Cece;US;Mocímboa;9 John Wall Park;-11.3535985;40.3522402;42;true;true;Cinese;Object-based upward-trending analyzer;Right-sized encompassing software;[]
73;Meagan;NL;Tuchów;2258 Brown Crossing;49.89477;21.05416;88;false;true;Russa;Digitized discrete secured line;Re-engineered tertiary architecture;[]
74;Olvan;FR;Kongoussi;5539 Lien Way;13.3252954;-1.5257042;22;true;true;Italiana;Synergistic client-driven analyzer;Expanded explicit synergy;[]
75;Pietro;US;Souillac;254 Erie Park;-20.5180739;57.5263859;8;false;false;Russa;Virtual 6th generation local area network;Cross-platform dynamic hub;[]
76;Alessandro;IT;Bacnar;86 Marcy Parkway;15.884783;120.341507;77;true;true;Argentina;Compatible logistical conglomeration;Diverse foreground standardization;[]
77;Maxi;US;Sūq al Khamīs;21 Iowa Plaza;17.18126;43.28811;51;false;true;Argentina;Face to face analyzing support;Multi-lateral directional middleware;[]
78;Mariette;US;Vangaindrano;941 Marcy Park;-23.3505295;47.5914122;2;false;false;Russa;Horizontal directional strategy;Visionary incremental encoding;[]
79;Jud;NL;Caocun;3 Artisan Circle;43.817071;125.323544;83;true;false;Argentina;Devolved attitude-oriented policy;Visionary leading edge info-mediaries;[]
80;Goober;AT;Nyapar;75436 Amoth Circle;-6.9122585;113.8257538;20;false;true;Cinese;Progressive multi-tasking benchmark;Pre-emptive mission-critical superstructure;[]
81;Jacquenette;IT;Sardasht;390 Annamark Place;36.158405;45.4759898;77;false;false;Russa;Phased stable focus group;Versatile web-enabled moratorium;[]
82;Mair;US;Mateur;1 Shelley Place;37.0388867;9.6647636;100;true;false;Cinese;Advanced eco-centric functionalities;Reverse-engineered reciprocal secured line;[]
83;Briney;DE;Tumba;830 Shopko Court;59.207544;17.8277745;75;true;false;Argentina;Multi-lateral disintermediate groupware;Open-architected human-resource archive;[]
84;Bartholomew;AT;Beutong Ateuh;4020 Mockingbird Drive;4.4613091;96.5249759;65;false;true;Italiana;Organic demand-driven superstructure;Decentralized value-added analyzer;[]
85;Witty;DE;Libog;9459 Charing Cross Hill;13.2409585;123.7750159;59;false;false;Italiana;Open-architected 6th generation software;Secured coherent help-desk;[]
86;Bryan;DE;Mache;17 Vernon Junction;-8.0305818;-78.5341407;65;false;true;Russa;Expanded modular support;Organized user-facing encoding;[]
